Godina;Razdjel;Naziv razdjela;Glava;Naziv glave;Glavni program;Naziv glavnog programa;Program;Naziv programa;Potprogram;Naziv potprograma;Funkcijsko podruèje;Naziv funkcijskog podruèja;Izvor financiranja;Naziv izvora financiranja;Razred stavke;Naziv razreda stavke;Skupina stavke;Naziv skupine stavke;Podskupina stavke;Naziv podskupine stavke;Izvorni plan;Tekuæi plan;Izvršeno
2019;010;HRVATSKI SABOR;01005;Hrvatski sabor;21;POLITIÈKI SUSTAV;2101;PROVOÐENJE ZAKONODAVNE VLASTI;A501041;PARLAMENTARNA DIMENZIJA PREDSJEDANJA REPUBLIKE HRVATSKE VIJEÆEM EUROPSKE UNIJE;01;Opæe javne usluge;11;Opæi prihodi i primi;3;Rashodi poslovanja;31;Rashodi za zaposlene;311;Plaæe (Bruto);225.000,00;;
2019;010;HRVATSKI SABOR;01005;Hrvatski sabor;21;POLITIÈKI SUSTAV;2101;PROVOÐENJE ZAKONODAVNE VLASTI;A501041;PARLAMENTARNA DIMENZIJA PREDSJEDANJA REPUBLIKE HRVATSKE VIJEÆEM EUROPSKE UNIJE;01;Opæe javne usluge;11;Opæi prihodi i primi;3;Rashodi poslovanja;31;Rashodi za zaposlene;312;Ostali rashodi za zaposlene;10.000,00;;
2019;010;HRVATSKI SABOR;01005;Hrvatski sabor;21;POLITIÈKI SUSTAV;2101;PROVOÐENJE ZAKONODAVNE VLASTI;A501041;PARLAMENTARNA DIMENZIJA PREDSJEDANJA REPUBLIKE HRVATSKE VIJEÆEM EUROPSKE UNIJE;01;Opæe javne usluge;11;Opæi prihodi i primi;3;Rashodi poslovanja;31;Rashodi za zaposlene;313;Doprinosi na plaæe;45.000,00;;
2019;010;HRVATSKI SABOR;01005;Hrvatski sabor;21;POLITIÈKI SUSTAV;2101;PROVOÐENJE ZAKONODAVNE VLASTI;A501041;PARLAMENTARNA DIMENZIJA PREDSJEDANJA REPUBLIKE HRVATSKE VIJEÆEM EUROPSKE UNIJE;01;Opæe javne usluge;11;Opæi prihodi i primi;3;Rashodi poslovanja;32;Materijalni rashodi;321;Naknade troškova zaposlenima;402.800,00;;
2019;010;HRVATSKI SABOR;01005;Hrvatski sabor;21;POLITIÈKI SUSTAV;2101;PROVOÐENJE ZAKONODAVNE VLASTI;A501041;PARLAMENTARNA DIMENZIJA PREDSJEDANJA REPUBLIKE HRVATSKE VIJEÆEM EUROPSKE UNIJE;01;Opæe javne usluge;11;Opæi prihodi i primi;3;Rashodi poslovanja;32;Materijalni rashodi;322;Rashodi za materijal i energiju;5.000,00;;
2019;010;HRVATSKI SABOR;01005;Hrvatski sabor;21;POLITIÈKI SUSTAV;2101;PROVOÐENJE ZAKONODAVNE VLASTI;A501041;PARLAMENTARNA DIMENZIJA PREDSJEDANJA REPUBLIKE HRVATSKE VIJEÆEM EUROPSKE UNIJE;01;Opæe javne usluge;11;Opæi prihodi i primi;3;Rashodi poslovanja;32;Materijalni rashodi;323;Rashodi za usluge;610.000,00;;
2019;010;HRVATSKI SABOR;01005;Hrvatski sabor;21;POLITIÈKI SUSTAV;2101;PROVOÐENJE ZAKONODAVNE VLASTI;A501041;PARLAMENTARNA DIMENZIJA PREDSJEDANJA REPUBLIKE HRVATSKE VIJEÆEM EUROPSKE UNIJE;01;Opæe javne usluge;11;Opæi prihodi i primi;3;Rashodi poslovanja;32;Materijalni rashodi;324;Naknade troškova osobama izvan radnog odnosa;100.000,00;;
2019;010;HRVATSKI SABOR;01005;Hrvatski sabor;21;POLITIÈKI SUSTAV;2101;PROVOÐENJE ZAKONODAVNE VLASTI;A501041;PARLAMENTARNA DIMENZIJA PREDSJEDANJA REPUBLIKE HRVATSKE VIJEÆEM EUROPSKE UNIJE;01;Opæe javne usluge;11;Opæi prihodi i primi;3;Rashodi poslovanja;32;Materijalni rashodi;329;Ostali nespomenuti rashodi poslovanja;400.000,00;;
2019;010;HRVATSKI SABOR;01005;Hrvatski sabor;21;POLITIÈKI SUSTAV;2101;PROVOÐENJE ZAKONODAVNE VLASTI;A501041;PARLAMENTARNA DIMENZIJA PREDSJEDANJA REPUBLIKE HRVATSKE VIJEÆEM EUROPSKE UNIJE;01;Opæe javne usluge;11;Opæi prihodi i primi;3;Rashodi poslovanja;34;Financijski rashodi;343;Ostali financijski rashodi;2.200,00;;
2019;010;HRVATSKI SABOR;01005;Hrvatski sabor;21;POLITIÈKI SUSTAV;2101;PROVOÐENJE ZAKONODAVNE VLASTI;A501041;PARLAMENTARNA DIMENZIJA PREDSJEDANJA REPUBLIKE HRVATSKE VIJEÆEM EUROPSKE UNIJE;01;Opæe javne usluge;11;Opæi prihodi i primi;4;Rashodi za nabavu nefinancijske imovine;42;Rashodi za nabavu proizvedene dugotrajne imovine;422;Postrojenja i oprema;200.000,00;;
2019;010;HRVATSKI SABOR;01005;Hrvatski sabor;21;POLITIÈKI SUSTAV;2101;PROVOÐENJE ZAKONODAVNE VLASTI;A501041;PARLAMENTARNA DIMENZIJA PREDSJEDANJA REPUBLIKE HRVATSKE VIJEÆEM EUROPSKE UNIJE;01;Opæe javne usluge;11;Opæi prihodi i primi;4;Rashodi za nabavu nefinancijske imovine;42;Rashodi za nabavu proizvedene dugotrajne imovine;426;Nematerijalna proizvedena imovina;100.000,00;;
2019;010;HRVATSKI SABOR;01005;Hrvatski sabor;21;POLITIÈKI SUSTAV;2101;PROVOÐENJE ZAKONODAVNE VLASTI;K501013;INFORMATIZACIJA HRVATSKOG SABORA;01;Opæe javne usluge;11;Opæi prihodi i primi;4;Rashodi za nabavu nefinancijske imovine;41;Rashodi za nabavu neproizvedene dugotrajne imovine;412;Nematerijalna imovina;550.000,00;;
2019;010;HRVATSKI SABOR;01005;Hrvatski sabor;21;POLITIÈKI SUSTAV;2101;PROVOÐENJE ZAKONODAVNE VLASTI;K501013;INFORMATIZACIJA HRVATSKOG SABORA;01;Opæe javne usluge;11;Opæi prihodi i primi;4;Rashodi za nabavu nefinancijske imovine;42;Rashodi za nabavu proizvedene dugotrajne imovine;422;Postrojenja i oprema;500.000,00;;
2019;010;HRVATSKI SABOR;01005;Hrvatski sabor;21;POLITIÈKI SUSTAV;2101;PROVOÐENJE ZAKONODAVNE VLASTI;K501013;INFORMATIZACIJA HRVATSKOG SABORA;01;Opæe javne usluge;11;Opæi prihodi i primi;4;Rashodi za nabavu nefinancijske imovine;42;Rashodi za nabavu proizvedene dugotrajne imovine;426;Nematerijalna proizvedena imovina;300.000,00;;
2019;010;HRVATSKI SABOR;01005;Hrvatski sabor;21;POLITIÈKI SUSTAV;2101;PROVOÐENJE ZAKONODAVNE VLASTI;K501027;SABORSKA TELEVIZIJA;08;Rekreacija, kultura i religija;11;Opæi prihodi i primi;4;Rashodi za nabavu nefinancijske imovine;42;Rashodi za nabavu proizvedene dugotrajne imovine;422;Postrojenja i oprema;25.000,00;;
2019;010;HRVATSKI SABOR;01005;Hrvatski sabor;21;POLITIÈKI SUSTAV;2101;PROVOÐENJE ZAKONODAVNE VLASTI;T501040;SASTANAK STALNOG ODBORA PARLAMENTARNE SKUPŠTINE NATO-A;01;Opæe javne usluge;11;Opæi prihodi i primi;3;Rashodi poslovanja;32;Materijalni rashodi;321;Naknade troškova zaposlenima;5.000,00;;
2019;010;HRVATSKI SABOR;01005;Hrvatski sabor;21;POLITIÈKI SUSTAV;2101;PROVOÐENJE ZAKONODAVNE VLASTI;T501040;SASTANAK STALNOG ODBORA PARLAMENTARNE SKUPŠTINE NATO-A;01;Opæe javne usluge;11;Opæi prihodi i primi;3;Rashodi poslovanja;32;Materijalni rashodi;322;Rashodi za materijal i energiju;7.500,00;;
2019;010;HRVATSKI SABOR;01005;Hrvatski sabor;21;POLITIÈKI SUSTAV;2101;PROVOÐENJE ZAKONODAVNE VLASTI;T501040;SASTANAK STALNOG ODBORA PARLAMENTARNE SKUPŠTINE NATO-A;01;Opæe javne usluge;11;Opæi prihodi i primi;3;Rashodi poslovanja;32;Materijalni rashodi;323;Rashodi za usluge;139.000,00;;
2019;010;HRVATSKI SABOR;01005;Hrvatski sabor;21;POLITIÈKI SUSTAV;2101;PROVOÐENJE ZAKONODAVNE VLASTI;T501040;SASTANAK STALNOG ODBORA PARLAMENTARNE SKUPŠTINE NATO-A;01;Opæe javne usluge;11;Opæi prihodi i primi;3;Rashodi poslovanja;32;Materijalni rashodi;324;Naknade troškova osobama izvan radnog odnosa;5.000,00;;
2019;010;HRVATSKI SABOR;01005;Hrvatski sabor;21;POLITIÈKI SUSTAV;2101;PROVOÐENJE ZAKONODAVNE VLASTI;T501040;SASTANAK STALNOG ODBORA PARLAMENTARNE SKUPŠTINE NATO-A;01;Opæe javne usluge;11;Opæi prihodi i primi;3;Rashodi poslovanja;32;Materijalni rashodi;329;Ostali nespomenuti rashodi poslovanja;117.000,00;;
2019;010;HRVATSKI SABOR;01005;Hrvatski sabor;21;POLITIÈKI SUSTAV;2101;PROVOÐENJE ZAKONODAVNE VLASTI;T501040;SASTANAK STALNOG ODBORA PARLAMENTARNE SKUPŠTINE NATO-A;01;Opæe javne usluge;11;Opæi prihodi i primi;3;Rashodi poslovanja;34;Financijski rashodi;343;Ostali financijski rashodi;500,00;;
2019;011;POVJERENSTVO ZA FISKALNU POLITIKU;01105;Povjerenstvo za fiskalnu politiku;22;FINANCIJSKI I FISKALNI SUSTAV;2211;NEOVISNO PRAÆENJE PROVEDBE FISKALNE POLITIKE;A926001;ADMINISTRACIJA I UPRAVLJANJE;01;Opæe javne usluge;11;Opæi prihodi i primi;3;Rashodi poslovanja;31;Rashodi za zaposlene;311;Plaæe (Bruto);803.000,00;;
2019;011;POVJERENSTVO ZA FISKALNU POLITIKU;01105;Povjerenstvo za fiskalnu politiku;22;FINANCIJSKI I FISKALNI SUSTAV;2211;NEOVISNO PRAÆENJE PROVEDBE FISKALNE POLITIKE;A926001;ADMINISTRACIJA I UPRAVLJANJE;01;Opæe javne usluge;11;Opæi prihodi i primi;3;Rashodi poslovanja;31;Rashodi za zaposlene;312;Ostali rashodi za zaposlene;33.500,00;;
2019;011;POVJERENSTVO ZA FISKALNU POLITIKU;01105;Povjerenstvo za fiskalnu politiku;22;FINANCIJSKI I FISKALNI SUSTAV;2211;NEOVISNO PRAÆENJE PROVEDBE FISKALNE POLITIKE;A926001;ADMINISTRACIJA I UPRAVLJANJE;01;Opæe javne usluge;11;Opæi prihodi i primi;3;Rashodi poslovanja;31;Rashodi za zaposlene;313;Doprinosi na plaæe;141.000,00;;
2019;011;POVJERENSTVO ZA FISKALNU POLITIKU;01105;Povjerenstvo za fiskalnu politiku;22;FINANCIJSKI I FISKALNI SUSTAV;2211;NEOVISNO PRAÆENJE PROVEDBE FISKALNE POLITIKE;A926001;ADMINISTRACIJA I UPRAVLJANJE;01;Opæe javne usluge;11;Opæi prihodi i primi;3;Rashodi poslovanja;32;Materijalni rashodi;321;Naknade troškova zaposlenima;37.000,00;;
2019;011;POVJERENSTVO ZA FISKALNU POLITIKU;01105;Povjerenstvo za fiskalnu politiku;22;FINANCIJSKI I FISKALNI SUSTAV;2211;NEOVISNO PRAÆENJE PROVEDBE FISKALNE POLITIKE;A926001;ADMINISTRACIJA I UPRAVLJANJE;01;Opæe javne usluge;11;Opæi prihodi i primi;3;Rashodi poslovanja;32;Materijalni rashodi;322;Rashodi za materijal i energiju;28.000,00;;
