value,activity_id,administrative_classification_id,date_id,economic_classification_id,fin_source_id,functional_classification_id
30100,32,9,1,8,1,8
30100,32,9,2,8,1,8
30100,32,9,3,8,1,8
3800,32,9,1,11,1,8
7000,32,9,2,11,1,8
7000,32,9,3,11,1,8
20000,32,9,1,20,1,8
,32,9,2,20,1,8
,32,9,3,20,1,8
45000,32,9,1,30,1,8
45000,32,9,2,30,1,8
45000,32,9,3,30,1,8
25233654,33,9,1,21,8,8
49670820,33,9,2,21,8,8
50973255,33,9,3,21,8,8
95000,34,9,1,6,1,8
70000,34,9,2,6,1,8
60000,34,9,3,6,1,8
10000,34,9,1,7,1,8
5000,34,9,2,7,1,8
5000,34,9,3,7,1,8
20000,34,9,1,8,1,8
10000,34,9,2,8,1,8
5000,34,9,3,8,1,8
26000,35,9,1,6,1,8
27000,35,9,2,6,1,8
27000,35,9,3,6,1,8
10000,35,9,1,7,1,8
10000,35,9,2,7,1,8
10000,35,9,3,7,1,8
4000,35,9,1,8,1,8
5000,35,9,2,8,1,8
5000,35,9,3,8,1,8
35000,36,9,1,6,1,3
45000,36,9,2,6,1,3
45000,36,9,3,6,1,3
5000,36,9,1,7,1,3
5000,36,9,2,7,1,3
5000,36,9,3,7,1,3
72809,37,9,1,4,12,8
30000,37,9,2,4,12,8
30000,37,9,3,4,12,8
95000,37,9,1,6,12,8
120000,37,9,2,6,12,8
120000,37,9,3,6,12,8
40000,37,9,1,7,12,8
5000,37,9,2,7,12,8
5000,37,9,3,7,12,8
35000,37,9,1,8,12,8
40000,37,9,2,8,12,8
40000,37,9,3,8,12,8
1913903,38,9,1,21,8,8
5299100,38,9,2,21,8,8
5438050,38,9,3,21,8,8
1380000,39,9,1,21,2,8
252000,39,9,2,21,2,8
,39,9,3,21,2,8
130000,39,9,1,22,2,8
28000,39,9,2,22,2,8
,39,9,3,22,2,8
8150800,39,9,1,24,11,8
1590000,39,9,2,24,11,8
,39,9,3,24,11,8
0,40,9,1,21,2,8
1110000,40,9,2,21,2,8
145000,40,9,3,21,2,8
0,40,9,1,22,2,8
195000,40,9,2,22,2,8
25000,40,9,3,22,2,8
0,40,9,1,24,11,8
11665000,40,9,2,24,11,8
1500000,40,9,3,24,11,8
30000,41,9,1,4,1,8
30000,41,9,2,4,1,8
30000,41,9,3,4,1,8
15000,41,9,1,6,1,8
15000,41,9,2,6,1,8
15000,41,9,3,6,1,8
5000,41,9,1,7,1,8
5000,41,9,2,7,1,8
5000,41,9,3,7,1,8
3000,41,9,1,8,1,8
3000,41,9,2,8,1,8
3000,41,9,3,8,1,8
132500,42,9,1,6,1,8
122500,42,9,2,6,1,8
122500,42,9,3,6,1,8
10000,42,9,1,7,1,8
10000,42,9,2,7,1,8
10000,42,9,3,7,1,8
30000,42,9,1,8,1,8
